Row Labels,Average of course_grade
548,6.510638298
549,6.734693878
550,7.673469388
551,6.045454545
552,7.531914894
553,7
554,7.541666667
555,7.632653061
556,8.245901639
557,7
558,7.241935484
559,8.479166667
560,6.76
561,7.903846154
562,6.717391304
563,7.396825397
564,7.224489796
565,7.672131148
566,7.916666667
567,7.270833333
568,7.06122449
569,6.9
570,6.641509434
571,7.959183673
572,8.327868852
573,8.659574468
574,8
575,6.5
576,6.595744681
577,8.081632653
578,7.788461538
579,7.361702128
580,6.74
581,7.40625
582,7.3125
583,7.244897959
584,6.897959184
585,7
586,7.275362319
587,7.68
588,8.290322581
589,8.387755102
590,7.3
591,7.775510204
592,8.063829787
593,7.408163265
594,7.916666667
595,6.709677419
596,7.265306122
597,8.204081633
598,8.580645161
599,7
600,6.895833333
601,6.791666667
602,8.68
603,6.921568627
604,8.32
605,8.037735849
606,8.882352941
607,8.145833333
608,7.729166667
609,7.8125
610,9.25
611,8.529411765
612,7.725490196
613,6.6
614,9
615,7.962264151
616,7.211538462
617,6.895833333
618,7.653061224
619,7.09375
620,8.5
621,8.979166667
622,6.173076923
623,7.784313725
624,8.607843137
625,7.775510204
626,7.666666667
627,7.319148936
628,7.653846154
629,7.66
630,7.063829787
631,9.349206349
632,7
633,7.134615385
634,7.137254902
635,7.235294118
636,6.388888889
637,7.744680851
638,7.82
639,8.901960784
640,7.254901961
641,7.137254902
642,7.551020408
643,6.076923077
644,7.711538462
645,7.489795918
646,7.020408163
647,5.563636364
648,6.615384615
649,6.411764706
650,7.862745098
651,8.095238095
652,6.82
653,7.98
654,8.714285714
655,7.836734694
656,7.3125
657,8.173076923
658,7.98
659,8.108695652
660,7.176470588
661,7.571428571
662,8.12244898
663,7.637681159
664,7.08
665,6.375
666,7.893617021
667,6.843137255
668,7.795918367
669,7.14
670,5.836734694
671,8.224489796
672,8.041666667
673,6.9
674,8.042553191
675,7.450980392
676,6.425925926
677,7.725490196
678,7.158730159
679,7.4
680,6.244897959
681,8.340425532
682,6.714285714
683,6.893939394
684,7
685,5.057692308
686,8.555555556
687,8.147540984
688,7
689,7.448979592
690,7.612244898
691,8.130434783
692,8.209677419
693,7.448979592
694,6.306122449
695,7.62745098
696,6.772727273
697,8.35
698,7.796875
699,6.714285714
700,7.781818182
701,7
702,4.98
703,6.490566038
704,6.358490566
705,8.301587302
706,6.225352113
707,7.8125
708,7
709,8.645833333
710,7.14
711,7.755102041
712,7.84375
713,6.927272727
714,8.393442623
715,7.079365079
716,7
717,6.836734694
718,7.451612903
719,7.352941176
720,8.543478261
721,8.078431373
722,7
723,8.950819672
724,7
725,8.081632653
726,7.261538462
727,5.903225806
728,7
729,7
730,5.285714286
731,7.462962963
732,7.888888889
733,7
734,7.421875
735,7.411764706
736,7.209677419
737,8.204081633
738,7
739,7.66
740,8.369230769
741,8.301587302
742,7.580645161
743,6.3
744,7.661538462
745,5.666666667
746,6.575757576
747,7.634920635
748,8.775510204
749,7.739130435
750,8.773584906
751,7.471428571
752,7
753,7.029411765
754,7.32
755,8.174603175
756,7
757,8.616666667
758,8.606557377
759,7.583333333
760,7.984375
761,5.303030303
762,7.793650794
763,7.014285714
764,7.45
765,7.14516129
766,8.483333333
767,6.352941176
768,7.045454545
769,8.734693878
770,8.375
771,6.773333333
772,8.147058824
773,8.904761905
774,7.583333333
775,7.057692308
776,7.823529412
777,8.508196721
778,7.93442623
779,8.095238095
780,8.852459016
781,8.043478261
782,7.301886792
783,8.714285714
784,8
785,9.6
786,7.764705882
787,8.208333333
788,7.032258065
789,7.328571429
790,8.262295082
791,8.098360656
792,9.096774194
793,7.196078431
794,5.444444444
795,8.516129032
796,7.573770492
797,7.188405797
798,8.416666667
799,8.396825397
800,8.0625
801,6.326530612
802,6.529411765
803,8.934782609
804,7.918367347
805,8.833333333
806,7.328125
807,7.28358209
808,7.375
809,5.868852459
810,7.136363636
811,7.836734694
812,7.825396825
813,8.447761194
814,6.258064516
815,7.895833333
816,6.625
817,8
818,8.615384615
819,7.446808511
820,7.671875
821,6.884057971
822,8.304347826
823,6.603773585
824,5.059701493
825,7.725490196
826,9.403225806
827,8.211538462
828,8.130434783
829,7.954545455
830,8.222222222
831,8.318181818
832,7.490196078
833,7.029411765
834,8.825396825
835,8.62962963
836,7.080645161
837,7.897959184
838,7.804347826
839,6.636363636
840,8.555555556
841,6.209677419
842,7.412698413
843,7.285714286
844,5.953125
845,7.92
846,6.79245283
847,8.19047619
848,7.3125
849,8.446808511
850,8.344262295
851,8.587301587
852,7.34375
853,7.397058824
854,8.142857143
855,7.920634921
856,8.244897959
